latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-86.083,40.0,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-12-07,1968-12-07,1
-86.0,-78.167,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-85.767,8.7,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1964-12-31,1964-12-31,1
-85.617,-81.117,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-85.433,4.7,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-01,1965-01-01,1
-85.367,139.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1958-02-01,1958-02-01,1
-85.267,-83.333,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-85.267,140.8,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-01-25,1961-01-25,1
-85.217,7.7,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-07,1965-01-07,1
-85.183,13.2,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-08,1965-01-08,1
-85.167,1.6,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-03,1965-01-03,1
-85.167,138.0,17,Trans-Antarctic Expedition 1957-1958,6,-9999,1958-02-02,1958-02-02,1
-85.067,-86.233,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-85.055,40.517,29,Syowa-South Pole Traverse 1968-1969,17,4,1968-12-04,1968-12-04,1
-84.973,-126.833,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-26,1958-11-26,1
-84.967,17.9,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-10,1965-01-10,1
-84.85,-90.0,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-84.85,21.8,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-14,1965-01-14,1
-84.827,-122.0,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-03,1958-12-03,1
-84.7,26.0,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-15,1965-01-15,1
-84.687,-114.033,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-06,1958-12-06,1
-84.672,-96.633,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-21,1958-12-21,1
-84.652,-118.267,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-04,1958-12-04,1
-84.633,-93.1,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
-84.6,-163.767,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-84.585,-159.45,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1974-01-01,1974-01-01,1
-84.533,-126.25,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-11-23,1958-11-23,1
-84.533,30.1,28,South Pole-Queen Maud Land Traverse I 1964-1965,16,-9999,1965-01-17,1965-01-17,1
-84.45,-167.65,16,Ross Ice Shelf Traverse 1957-1958,5,1,1958-01-03,1958-01-03,1
-84.447,-101.183,21,Marie Byrd Land-Horlick Mountains Traverse 1958-1959,10,1,1958-12-16,1958-12-16,1
